科目	2015-12-31	科目	2015-12-31
货币资金	661,505,830.77	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款		应付账款	872,869,371.33
预付款项	932,351,771.85	预收款项	938,847,179.92
其他应收款	51,703,691.67	应付职工薪酬	3,954,861.38
应收关联公司款		应交税费	16,116,984.46
应收利息		应付利息	14,302,476.27
应收股利		应付股利	2,874,750.00
存货	6,181,985,193.63	其他应付款	92,582,816.45
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	111,241.00	一年内到期的非流动负债	287,500,000.00
其他流动资产	81,205,944.28	其他流动负债	
流动资产合计	7,908,863,673.20	流动负债合计	2,229,048,439.81
可供出售金融资产		长期借款	1,077,000,000.00
持有至到期投资		应付债券	689,016,620.55
长期应收款	8,261,611.71	长期应付款	1,156,178,070.38
长期股权投资	38,346,293.50	专项应付款	
投资性房地产	46,938,464.91	预计负债	
固定资产	41,015,195.73	递延所得税负债	
在建工程	1,821,436.50	其他非流动负债	
工程物资		非流动负债合计	2,926,391,690.93
固定资产清理		负债合计	5,155,440,130.74
生产性生物资产		实收资本(或股本)	297,193,885.00
油气资产		资本公积	508,969,568.93
无形资产	2,564,585.67	盈余公积	43,456,274.31
开发支出		减:库存股	
商誉		未分配利润	859,400,542.11
长期待摊费用	24,425,445.86	少数股东权益	1,262,477,632.47
递延所得税资产	54,701,326.48	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	218,074,360.36	所有者权益(或股东权益)合计	2,971,497,902.82
资产总计	8,126,938,033.56	负债和所有者(或股东权益)合计	8,126,938,033.56
科目	2015年度	科目	2015年度
一、营业收入	1,112,269,246.23	二、营业利润	45,492,965.09
减:营业成本	840,411,543.92	加:补贴收入	
营业税金及附加	80,200,145.34	营业外收入	494,128.14
销售费用	36,495,795.09	减:营业外支出	228,503.45
管理费用	89,364,187.37	其中:非流动资产处置净损失	29,302.00
堪探费用		加:影响利润总额的其他科目	
财务费用	20,126,605.83	三、利润总额	45,758,589.78
资产减值损失		减:所得税	17,974,271.00
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-178,003.59	四、净利润	27,784,318.78
其中:对联营企业和合营企业的投资权益	-178,003.59	归属于母公司所有者的净利润	28,424,001.41
影响营业利润的其他科目		少数股东损益	-639,682.63

