科目	2015-12-31	科目	2015-12-31
货币资金	15,001,166,057.60	短期借款	1,582,932,882.43
交易性金融资产		交易性金融负债	
应收票据		应付票据	569,085,015.02
应收账款	74,942,919.80	应付账款	12,263,066,476.64
预付款项	1,696,522,937.08	预收款项	25,172,475,849.23
其他应收款	12,380,592,250.14	应付职工薪酬	676,495,125.74
应收关联公司款		应交税费	1,008,975,257.13
应收利息		应付利息	270,049,643.23
应收股利		应付股利	36,850,000.00
存货	77,639,749,201.60	其他应付款	10,005,826,781.26
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	13,428,822,093.34
其他流动资产	10,230,798,927.18	其他流动负债	
流动资产合计	117,023,772,293.40	流动负债合计	65,014,579,124.02
可供出售金融资产	181,937,905.39	长期借款	12,566,005,595.98
持有至到期投资		应付债券	11,137,769,792.98
长期应收款		长期应付款	
长期股权投资	6,324,516,061.93	专项应付款	
投资性房地产	13,391,106,594.00	预计负债	
固定资产	297,849,854.28	递延所得税负债	3,011,716,014.12
在建工程		其他非流动负债	
工程物资		非流动负债合计	26,715,491,403.08
固定资产清理		负债合计	91,730,070,527.10
生产性生物资产		实收资本(或股本)	4,499,609,872.00
油气资产		资本公积	4,294,054,189.14
无形资产		盈余公积	1,688,430,123.68
开发支出		减:库存股	
商誉		未分配利润	22,663,804,292.40
长期待摊费用	47,710,357.03	少数股东权益	14,017,349,898.15
递延所得税资产	1,131,030,207.64	外币报表折算价差	
其他非流动资产	183,257,899.47	非正常经营项目收益调整	
非流动资产合计	22,322,373,844.28	所有者权益(或股东权益)合计	47,616,075,610.58
资产总计	139,346,146,137.68	负债和所有者(或股东权益)合计	139,346,146,137.68
科目	2015年度	科目	2015年度
一、营业收入	32,733,267,202.88	二、营业利润	6,199,885,548.06
减:营业成本	23,375,264,684.15	加:补贴收入	
营业税金及附加	2,979,040,425.96	营业外收入	144,717,686.50
销售费用	1,122,955,684.83	减:营业外支出	64,939,189.04
管理费用	1,432,217,350.08	其中:非流动资产处置净损失	165,370.50
堪探费用		加:影响利润总额的其他科目	
财务费用	253,301,001.54	三、利润总额	6,279,664,045.52
资产减值损失	550,516,913.78	减:所得税	1,436,347,125.83
加:公允价值变动净收益	1,743,470,277.08	加:影响净利润的其他科目	
投资收益	1,407,637,865.92	四、净利润	4,843,316,919.69
其中:对联营企业和合营企业的投资权益	796,989,904.27	归属于母公司所有者的净利润	3,200,350,433.51
影响营业利润的其他科目		少数股东损益	1,642,966,486.18

